date,oil_productivity,gas_productivity,operator_name
2010-01-01,4144.0,2227.5,WPX ENERGY WILLISTON LLC
2018-08-01,4255.923076923077,10110.353846153846,WPX ENERGY WILLISTON LLC
2018-07-01,5253.984848484848,11994.363636363636,WPX ENERGY WILLISTON LLC
2018-06-01,5569.469696969697,12147.272727272728,WPX ENERGY WILLISTON LLC
2018-05-01,5995.651515151515,10670.045454545454,WPX ENERGY WILLISTON LLC
2018-04-01,6252.606060606061,9997.227272727272,WPX ENERGY WILLISTON LLC
2018-03-01,6671.575757575758,10427.363636363636,WPX ENERGY WILLISTON LLC
2018-02-01,7086.636363636364,10475.727272727272,WPX ENERGY WILLISTON LLC
2018-01-01,6935.666666666667,10140.136363636364,WPX ENERGY WILLISTON LLC
2017-12-01,7186.333333333333,9572.242424242424,WPX ENERGY WILLISTON LLC
2017-11-01,7858.393939393939,10655.742424242424,WPX ENERGY WILLISTON LLC
2017-10-01,9170.727272727272,11795.59090909091,WPX ENERGY WILLISTON LLC
2017-09-01,10188.363636363636,12827.712121212122,WPX ENERGY WILLISTON LLC
2017-08-01,10137.349206349207,12302.57142857143,WPX ENERGY WILLISTON LLC
2017-07-01,7837.015873015873,10271.968253968254,WPX ENERGY WILLISTON LLC
2012-11-01,5367.611111111111,6898.0,WPX ENERGY WILLISTON LLC
2010-07-01,5699.0,5234.0,WPX ENERGY WILLISTON LLC
2010-05-01,8199.0,7119.0,WPX ENERGY WILLISTON LLC
2010-04-01,9984.0,8741.0,WPX ENERGY WILLISTON LLC
2010-03-01,14773.0,13284.0,WPX ENERGY WILLISTON LLC
2015-08-01,4793.794871794872,6921.538461538462,WPX ENERGY WILLISTON LLC
2014-12-01,8198.638888888889,7770.5,WPX ENERGY WILLISTON LLC
2018-08-01,6037.223880597015,11553.641791044776,ENERPLUS RESOURCES USA CORPORATION
2018-07-01,6701.731343283582,11089.283582089553,ENERPLUS RESOURCES USA CORPORATION
2018-05-01,7828.776119402985,12163.253731343284,ENERPLUS RESOURCES USA CORPORATION
2018-04-01,8675.484848484848,13010.89393939394,ENERPLUS RESOURCES USA CORPORATION
2018-03-01,7988.3125,11891.484375,ENERPLUS RESOURCES USA CORPORATION
2018-02-01,6335.476923076923,9123.938461538462,ENERPLUS RESOURCES USA CORPORATION
